date_p,prec,temp,val_calc_ngf
1970-01-01,4.30967741935484,4.98064516129032,58.645
1970-02-01,4.31428571428571,1.675,58.8825
1970-03-01,2.2258064516129,4.90645161290323,61.7
1970-04-01,1.86,10.5533333333333,63.1625
1970-05-01,1.43870967741935,14.3967741935484,64.37
1970-06-01,1.75666666666667,16.1933333333333,65.342
1970-07-01,1.97096774193548,16.4354838709677,65.9925
1970-08-01,1.84193548387097,15.2161290322581,66.23
1970-09-01,1.41333333333333,14.2333333333333,66.132
1970-10-01,1.53548387096774,9.24193548387097,65.7275
1970-11-01,3.16666666666667,6.73333333333333,65.1775
1970-12-01,0.503225806451613,-0.158064516129032,64.294
1971-01-01,2.10967741935484,5.01290322580645,63.2675
1971-02-01,1.43928571428571,2.38928571428571,62.525
1971-03-01,0.764516129032258,7.01612903225807,61.578
1971-04-01,1.76333333333333,11.5866666666667,60.605
1971-05-01,2.37741935483871,13.0225806451613,59.6175
1971-06-01,1.53333333333333,16.1866666666667,58.726
1971-07-01,1.51612903225806,16.4612903225806,57.9175
1971-08-01,1.79354838709677,15.8677419354839,57.115
1971-09-01,0.92,12.97,56.236
1971-10-01,1.79677419354839,7.91290322580645,55.4275
1971-11-01,2.92333333333333,4.39666666666667,54.6775
1971-12-01,1.25161290322581,4.34516129032258,53.895
1972-01-01,3.19354838709677,3.24193548387097,52.8925
1972-02-01,1.33103448275862,4.42068965517241,52.1825
1972-03-01,2.03548387096774,9.68387096774194,51.302
1972-04-01,1.74666666666667,8.71333333333333,50.4625
1972-05-01,1.59354838709677,11.2709677419355,49.688
1972-06-01,1.33333333333333,13.9066666666667,48.87
1972-07-01,2.42903225806452,16.7129032258065,48.21
1972-08-01,1.05806451612903,14.0838709677419,47.492
1972-09-01,1.14,10.88,46.785
1972-10-01,2.69677419354839,8.63870967741936,46.205
1972-11-01,4.02333333333333,5.68333333333333,45.524
1972-12-01,0.216129032258064,1.73225806451613,45.06
1973-01-01,2.39677419354839,3.45483870967742,44.548
1973-02-01,1.13928571428571,3.575,44.0075
1973-03-01,1.05806451612903,5.81290322580645,43.6825
1973-04-01,1.92333333333333,9.24,43.385
1973-05-01,1.96774193548387,13.9806451612903,43.066
1973-06-01,1.13333333333333,17.7833333333333,42.75
1973-07-01,1.28387096774194,16.7838709677419,42.466
1973-08-01,2.2,17.6935483870968,42.1925
1973-09-01,3.79333333333333,11.59,41.9325
1973-10-01,2.05806451612903,7.93548387096774,41.66
1973-11-01,2.05666666666667,3.31666666666667,41.3975
1973-12-01,2.69032258064516,5.26451612903226,41.2975
1974-01-01,2.27741935483871,5.80322580645161,41.2325
1974-02-01,1.63571428571429,3.13214285714286,40.895
1974-03-01,0.603225806451613,9.60322580645161,40.656
1974-04-01,1.30333333333333,8.31,40.635
1974-05-01,1.16451612903226,12.8709677419355,40.65
1974-06-01,3.45333333333333,15.3766666666667,40.1221178244014
1974-07-01,1.43870967741935,16.0806451612903,39.48
1974-08-01,2.68064516129032,14.6838709677419,39.456
1974-09-01,6.61333333333333,8.39,39.3875
1974-10-01,6.33548387096774,7.1741935483871,39.985
1974-11-01,3.19666666666667,7.22666666666667,41.664
1974-12-01,2.17741935483871,7.21290322580645,43.29
1975-01-01,2.23548387096774,5.74193548387097,44.4575
1975-02-01,1.94285714285714,5.47142857142857,46.2675
1975-03-01,2.99354838709677,4.3,48.45
1975-04-01,2.87,10.6066666666667,50.5175
1975-05-01,1.16774193548387,12.9451612903226,52.412
1975-06-01,3.07666666666667,16.23,54.125
1975-07-01,1.11290322580645,19.0032258064516,55.0475
1975-08-01,3.18387096774194,14.9677419354839,55.588
1975-09-01,2.27333333333333,11.17,55.8275
1975-10-01,2.09677419354839,7.44516129032258,55.75
1975-11-01,1.34333333333333,2.83666666666667,55.484
1975-12-01,0.880645161290322,5.02903225806452,55.155
1976-01-01,2.00967741935484,1.64838709677419,54.68
1976-02-01,0.951724137931034,5.20689655172414,54.2025
1976-03-01,0.467741935483871,6.76774193548387,53.68
1976-04-01,0.386666666666667,11.45,53.1925
1976-05-01,0.403225806451613,14.8,52.724
1976-06-01,0.59,22.2866666666667,52.2125
1976-07-01,0.57741935483871,17.5193548387097,51.678
1976-08-01,2.55806451612903,15.341935483871,51.0275
1976-09-01,2.56666666666667,13.59,50.435
1976-10-01,2.56774193548387,7.52903225806452,49.658
1976-11-01,3.54666666666667,3.84333333333333,48.825
1976-12-01,2.67741935483871,1.38709677419355,48.1425
1977-01-01,3.40967741935484,5.49032258064516,47.5475
1977-02-01,1.88214285714286,7.36428571428571,47.42
1977-03-01,1.96129032258065,5.21935483870968,47.8944854963219
1977-04-01,3.66,9.48333333333333,47.48
1977-05-01,1.50967741935484,13.441935483871,47.535
1977-06-01,0.91,16.1133333333333,47.7
1977-07-01,1.67096774193548,15.2645161290323,47.794
1977-08-01,1.06774193548387,13.558064516129,47.83
1977-09-01,1.93666666666667,12.12,47.718
1977-10-01,4.69354838709677,9.81290322580645,47.42
1977-11-01,1.89,3.85,47.082
1977-12-01,2.58709677419355,3.98387096774194,46.73
1978-01-01,4.21290322580645,1.32903225806452,47.59
1978-02-01,3.86071428571429,6.82142857142857,47.27
1978-03-01,2.53870967741935,5.9,48.16
1978-04-01,2.81666666666667,10.5233333333333,48.2581793275456
1978-05-01,1.55806451612903,14.0451612903226,48.05
1978-06-01,3.07333333333333,13.6266666666667,49.0543794687155
1978-07-01,2.28064516129032,15.8838709677419,49.5012245097723
1978-08-01,0.348387096774194,14.1225806451613,49.9761026877869
