date_p,Peff,val_calc_ngf
1970-01-01,1.7691541297096773,58.645
1970-02-01,3.3842408289285717,58.8825
1970-03-01,1.6124578790322581,61.7
1970-04-01,1.7362262246666667,63.1625
1970-05-01,0.7897210344516129,64.37
1970-06-01,0.3315477186666666,65.34200000000001
1970-07-01,0.15628479568709677,65.9925
1970-08-01,0.21779513268709677,66.22999999999999
1970-09-01,0.2493559457766667,66.13199999999999
1970-10-01,0.13644739783870968,65.7275
1970-11-01,0.7589037804333334,65.17750000000001
1970-12-01,0.5167336767741936,64.294
1971-01-01,1.0778289229032256,63.2675
1971-02-01,0.6235169096428572,62.525
1971-03-01,0.267288,61.577999999999996
1971-04-01,0.30563733433333334,60.605
1971-05-01,0.20524120993548386,59.6175
1971-06-01,0.4897108648,58.726
1971-07-01,0.04876054967741935,57.917500000000004
1971-08-01,0.1775352812903226,57.115
1971-09-01,0.047407150933333336,56.236000000000004
1971-10-01,0.029786780225806456,55.4275
1971-11-01,0.9073359398999999,54.677499999999995
1971-12-01,0.08453008883870967,53.894999999999996
1972-01-01,1.135117835483871,52.8925
1972-02-01,1.2671922272862068,52.182500000000005
1972-03-01,0.6162182829032258,51.302
1972-04-01,0.7627231365666667,50.4625
1972-05-01,0.3460992930032258,49.688
1972-06-01,0.29779435666666665,48.87
1972-07-01,0.25328605370967744,48.21
1972-08-01,0.36843456,47.492
1972-09-01,0.20625326166666666,46.785
1972-10-01,0.06909348367741935,46.205
1972-11-01,1.6203739260233334,45.524
1972-12-01,0.7719994377419355,45.06
1973-01-01,0.5275307614838709,44.548
1973-02-01,1.4019868353571427,44.0075
1973-03-01,0.17741472258064514,43.6825
1973-04-01,0.5906580446666667,43.385000000000005
1973-05-01,0.7797009674193548,43.065999999999995
1973-06-01,0.09240604283333334,42.75
1973-07-01,0.07410375652258064,42.466
1973-08-01,0.09102781096774193,42.192499999999995
1973-09-01,0.3281396978666667,41.932500000000005
1973-10-01,0.3978743301935484,41.660000000000004
1973-11-01,0.8648344538,41.397499999999994
1973-12-01,0.9663262983870967,41.2975
1974-01-01,1.3794075612903225,41.2325
1974-02-01,1.2844671096428573,40.894999999999996
1974-03-01,1.0417735342387096,40.65599999999999
1974-04-01,0.07954990166666667,40.635000000000005
1974-05-01,0.23627600129032258,40.65
1974-06-01,0.51228966,40.065
1974-07-01,0.12247937013548388,39.48
1974-08-01,0.10702547332258064,39.456
1974-09-01,1.3548336143,39.3875
1974-10-01,3.7373163056129033,39.985
1974-11-01,4.4006251013333335,41.664
1974-12-01,1.782436104516129,43.29
1975-01-01,2.2678486912903226,44.4575
1975-02-01,0.3911306485714286,46.2675
1975-03-01,1.901476874516129,48.45
1975-04-01,1.099236756,50.5175
1975-05-01,1.2725114919354839,52.412
1975-06-01,0.25346455733333334,54.125
1975-07-01,0.5039087948387098,55.0475
1975-08-01,0.22518968187096775,55.588
1975-09-01,0.7098199353666667,55.8275
1975-10-01,0.14299797496774194,55.75
1975-11-01,1.1753485073333332,55.484
1975-12-01,0.2944795023451613,55.155
1976-01-01,0.35457082412903224,54.67999999999999
1976-02-01,0.9041514702413793,54.2025
1976-03-01,0.3773338407419355,53.67999999999999
1976-04-01,0.021725280466666667,53.1925
1976-05-01,0.03396509493548387,52.724000000000004
1976-06-01,0.0,52.2125
1976-07-01,0.004877791887096774,51.678
1976-08-01,0.00011831894516129033,51.0275
1976-09-01,0.15225329803666668,50.435
1976-10-01,0.38648810903225805,49.658
1976-11-01,1.0573329216,48.825
1976-12-01,1.6228831641935484,48.1425
1977-01-01,2.2326022683870965,47.5475
1977-02-01,2.3724031353571426,47.42
1977-03-01,0.7614319429032258,47.45
1977-04-01,1.1358650164666666,47.48
1977-05-01,1.7285489577419355,47.535
1977-06-01,0.399589244,47.699999999999996
1977-07-01,0.20547188903225805,47.794
1977-08-01,0.17772814548387098,47.83
1977-09-01,0.060844033486666664,47.718
1977-10-01,0.26426932949032256,47.42
1977-11-01,1.9947635566666666,47.082
1977-12-01,1.3133374493548386,46.73
1978-01-01,2.436044834193549,47.59
1978-02-01,2.423361345464286,47.27
1978-03-01,3.086476730322581,48.16
1978-04-01,1.3888847673333333,48.105
1978-05-01,0.8296570667741935,48.05
1978-06-01,0.8345223097666667,48.016
1978-07-01,1.0299324077419354,47.982
1978-08-01,0.17619624258064517,47.948
1978-09-01,0.19206532566666665,47.914
1978-10-01,0.12102023725806452,47.88
1978-11-01,0.08783796303333333,50.06
1978-12-01,1.153210323548387,52.24
1979-01-01,0.783009673451613,54.42
1979-02-01,1.6396922792142856,54.23
1979-03-01,2.9142636374193547,54.76
1979-04-01,0.9372247897666667,55.065
1979-05-01,0.8196900629032259,56.05
1979-06-01,0.49381884133333337,55.65333333333333
1979-07-01,0.05841814258064516,56.001999999999995
1979-08-01,0.2939138277419355,56.245000000000005
1979-09-01,0.09081703456666666,56.09
1979-10-01,0.5880361351806451,55.818
1979-11-01,2.7505788496666668,55.72
1979-12-01,4.877471161612903,56.39399999999999
1980-01-01,1.3929665199935484,58.2475
1980-02-01,2.549887395517241,59.795
1980-03-01,2.1033762290322584,61.302499999999995
1980-04-01,0.030037857766666665,62.354
1980-05-01,0.5300133410645161,63.112500000000004
1980-06-01,0.6490119264333334,63.5775
1980-07-01,1.8733566945161289,63.878
1980-08-01,0.44256345354838705,63.9375
1980-09-01,0.4098280759666667,63.562
1980-10-01,0.9046227565806452,62.8925
1980-11-01,1.0634436716666666,62.4425
1980-12-01,2.6005006293548387,62.254
1981-01-01,2.095586331032258,62.845
